tt/I,layer/I,phimin/D,phimax/D,zmin_cm/D,zmax_cm/D
39,5,-1.077650,0.390458,6.6231,62.7936
39,6,-0.983216,0.258232,19.9094,83.8783
39,7,-0.967863,0.093931,40.0171,109.5320
39,8,-0.850475,0.065086,49.5713,117.6600
39,9,-0.891967,0.054190,59.7479,117.6600
39,10,-0.886540,0.082168,69.0479,117.6600
39,11,-0.934939,0.078141,61.4896,110.0980
39,12,-0.898662,0.060899,64.3706,110.0980
39,13,-0.872450,0.056104,81.5298,110.0980
39,14,-0.872450,0.045710,100.0510,110.0980
40,5,-0.379494,1.081960,43.3692,119.9180
40,6,-0.255056,0.980022,71.8298,119.9680
40,7,-0.093931,0.967853,106.4560,119.9500
40,11,-0.520993,1.218000,22.9491,74.4027
40,12,-0.432564,1.218000,23.3737,85.1569
40,13,-0.369417,1.042640,32.9760,102.2620
40,14,-0.310640,1.027340,37.1046,110.0980
40,15,-0.105057,0.977692,45.7734,110.0980
41,5,0.318634,1.780090,43.3692,119.9180
41,6,0.467842,1.707100,71.8298,119.9680
41,7,0.604227,1.665970,106.4560,119.9500
41,11,0.352815,2.003380,22.9593,74.4012
41,12,0.352815,1.777630,23.3737,85.1569
41,13,0.528151,1.940230,33.2099,102.2630
41,14,0.543453,1.850400,37.1049,110.0970
41,15,0.593104,1.675850,45.7734,110.0970
42,5,1.361500,2.822960,36.4199,119.9180
42,6,1.434500,2.673740,71.8298,119.9680
42,7,1.475620,2.537410,106.4560,119.9500
42,11,1.138230,2.788790,22.9491,66.1742
42,12,1.254440,2.720090,23.3733,85.1561
42,13,1.425770,2.613430,33.1386,102.2620
42,14,1.425770,2.598130,33.2147,110.0980
42,15,1.465740,2.548530,45.7734,110.0980
43,5,2.059650,3.521115,43.3692,119.9180
43,6,2.161530,3.396645,71.8298,119.9680
43,7,2.173730,3.235525,106.4560,119.9500
43,11,1.923610,3.574175,22.9491,74.4018
43,12,1.992300,3.574175,23.3733,85.1561
43,13,2.045560,3.511045,33.2136,102.2630
43,14,2.114240,3.271315,37.1048,110.0980
43,15,2.163860,3.246645,45.7734,110.0980
44,5,2.757750,4.219225,36.4199,119.9180
44,6,2.884460,4.123705,71.8298,119.9680
44,7,3.047660,4.109445,106.4560,119.9500
44,11,2.709030,4.359585,22.9523,74.4027
44,12,2.709030,4.359585,23.3737,85.1569
44,13,2.772180,4.184235,33.1284,102.2620
44,14,2.861990,4.168935,37.1046,110.0980
44,15,3.036540,4.119285,45.7734,110.0980
45,5,-2.827270,-1.365820,43.3692,119.9180
45,6,-2.671680,-1.436580,71.8298,119.9680
