tt/I,layer/I,phimin/D,phimax/D,zmin_cm/D,zmax_cm/D
22,9,-1.575737,-0.779280,-80.5206,2.7661
22,10,-1.612722,-0.748760,-110.1235,7.7911
23,5,-0.904594,0.127729,-31.7667,7.8700
23,6,-0.884828,0.101682,-38.2266,5.2758
23,7,-0.856748,0.068885,-48.4624,1.8337
23,8,-0.818809,0.036921,-66.2470,2.7661
23,9,-0.794305,0.011585,-80.5206,7.7911
23,10,-0.829057,0.037273,-110.1235,12.6545
24,5,-0.116281,0.909433,-8.0167,31.6933
24,6,-0.097846,0.881519,-5.7159,38.7885
24,7,-0.069741,0.857548,-1.9804,48.5679
24,8,-0.035453,0.820219,-2.1958,62.2604
24,9,-0.009877,0.793827,-7.2208,81.7838
24,10,-0.042277,0.821745,-12.2524,110.1225
25,5,0.662855,1.697829,-9.3370,31.7667
25,6,0.680775,1.672439,-6.3027,38.5637
25,7,0.714089,1.643474,-2.2629,48.5679
25,8,0.748413,1.604846,-2.1958,62.2604
25,9,0.781323,1.574490,-7.2208,81.7838
25,10,0.740729,1.610969,-12.2524,110.1225
26,5,1.446687,2.478976,-7.7233,31.6933
26,6,1.471307,2.459959,-4.9824,38.7885
26,7,1.498739,2.421882,-1.6870,48.2513
26,8,1.534630,2.392617,-2.1958,62.2604
26,9,1.567245,2.361187,-7.2208,81.7838
26,10,1.530447,2.396656,-12.2524,110.1225
27,5,2.234245,3.266915,-8.7502,31.6933
27,6,2.262766,3.242611,-5.8626,38.9008
27,7,2.286046,3.212138,-2.2738,48.4624
27,8,2.322463,3.179169,-2.1958,62.2604
27,9,2.347607,3.152236,-7.2208,81.7838
27,10,2.319971,3.141498,-7.2208,110.1225
28,5,3.013864,4.049096,-8.8969,31.5466
28,6,3.038776,4.029064,-5.8626,38.9008
28,7,3.072366,3.999706,-1.3936,48.3568
28,8,3.105618,3.965015,-2.1958,62.2604
28,9,3.132173,3.938104,-7.2208,81.7838
28,10,-3.141588,-2.309337,-12.2524,110.1225
29,5,-2.484223,-1.453466,-8.3101,30.7747
29,6,-2.455533,-1.477118,-5.7159,38.6761
29,7,-2.426548,-1.500532,-2.2629,48.4624
29,8,-2.392169,-1.535271,-2.1958,62.2604
29,9,-2.359551,-1.565871,-7.2208,81.7838
29,10,-2.396461,-1.526582,-12.2524,110.1225
30,5,-1.692793,-0.665018,-9.0436,30.9947
30,6,-1.678021,-0.691948,-6.0093,38.5637
30,7,-1.656958,-0.719980,-2.2738,48.3568
30,8,-1.625912,-0.750647,-2.1958,62.2604
30,9,-1.596339,-0.780969,-7.2208,81.7838
30,10,-1.615564,-0.750652,-12.2524,110.1225
31,5,-0.905212,0.119980,-7.8700,31.6200
31,6,-0.885371,0.096493,-5.4225,38.5637
31,7,-0.857312,0.062823,-1.6870,48.1458
31,8,-0.820732,0.031873,-2.1958,62.2604
31,9,-0.794912,0.008329,-7.2208,81.7838
31,10,-0.832016,0.037925,-12.2524,110.1225
32,5,-0.120480,0.904096,10.6573,61.6412
32,6,-0.092881,0.881411,28.2524,82.6418
32,7,-0.066292,0.853778,46.3562,108.6148
32,8,-0.031873,0.821949,57.1088,115.1475
32,9,-0.008781,0.795818,71.5604,115.1475
32,10,-0.041557,0.815832,86.8088,115.1475
32,11,-0.027712,0.821068,64.5636,107.5835
32,12,-0.028837,0.812292,77.4931,107.5845
32,13,-0.015853,0.808358,88.9418,107.5845
32,14,-0.019800,0.819576,102.4631,107.5845
33,5,0.669467,1.691513,11.1892,61.6816
33,6,0.689082,1.668947,28.4771,82.7517
33,7,0.718072,1.641887,46.5672,108.6882
33,8,0.751604,1.608292,57.1088,115.1475
33,9,0.781271,1.576952,71.5604,115.1475
33,10,0.760729,1.607695,90.8838,115.1475
33,11,0.751347,1.608682,64.6096,107.5841
33,12,0.759760,1.598713,77.4931,107.5837
33,13,0.763945,1.605781,88.9418,107.5845
33,14,0.752978,1.593441,102.4677,107.5845
34,5,1.450325,2.478510,11.2626,61.7221
34,6,1.470856,2.457837,27.8028,82.6967
34,7,1.503281,2.426426,46.4617,108.5415
34,8,1.536488,2.394903,57.1088,115.1475
34,9,1.567564,2.362735,71.5604,115.1475
34,10,1.535815,2.399862,86.8088,115.1475
34,11,1.533719,2.402110,64.5210,107.5834
34,12,1.545055,2.386437,77.4931,107.5841
34,13,1.548653,2.382084,88.9418,107.5843
34,14,1.553675,2.385182,102.4633,107.5834
35,5,2.235168,3.261009,11.0426,61.8434
35,6,2.261646,3.241547,27.9152,82.5868
35,7,2.285795,3.208588,46.5672,108.4681
35,8,2.322655,3.176918,57.1088,115.1475
35,9,2.347320,3.150001,71.5604,115.1475
35,10,2.319165,3.141433,86.8088,115.1475
35,11,2.324705,3.174561,64.5049,107.5845
35,12,2.334155,3.154542,71.7524,107.5845
35,13,2.333609,3.149636,83.9195,107.5841
35,14,2.335160,3.141132,102.4625,107.5841
36,5,3.017051,4.045759,13.2430,61.7221
36,6,3.041241,4.025957,27.8028,82.6418
36,7,3.072919,3.998267,46.4617,108.6148
36,8,3.103825,3.961870,57.1088,115.1475
36,9,3.130114,3.935419,71.5604,115.1475
36,10,-3.141400,-2.315174,86.8088,115.1475
36,11,3.098388,3.958750,61.4119,107.5845
36,12,3.128560,3.965774,77.4931,107.5841
36,13,-3.141355,-2.332230,88.9418,107.5845
36,14,-3.138536,-2.340683,102.4663,107.5818
37,5,-2.475717,-1.452089,11.4826,61.8029
37,6,-2.451638,-1.473830,27.6905,82.5319
37,7,-2.424912,-1.492594,46.4617,108.5415
37,8,-2.393322,-1.525215,57.1088,115.1475
37,9,-2.360886,-1.567564,71.5604,115.1475
37,10,-2.386291,-1.532080,86.8088,115.1475
37,11,-2.398102,-1.533819,64.4583,107.5845
37,12,-2.381414,-1.549788,71.7628,107.5837
37,13,-2.386437,-1.543465,88.9418,107.5841
37,14,-2.386061,-1.546059,102.4625,107.5837
38,5,-1.683570,-0.668664,10.8959,61.8434
38,6,-1.659561,-0.692097,27.6905,82.8066
38,7,-1.633585,-0.718494,43.3412,108.6148
38,8,-1.604079,-0.748413,57.1088,115.1475
38,9,-1.573669,-0.780457,67.2854,115.1475
38,10,-1.606171,-0.752761,86.8088,115.1475
38,11,-1.606324,-0.747977,64.4332,107.5834
38,12,-1.595659,-0.753732,77.4931,107.5841
38,13,-1.606325,-0.754904,88.9418,107.5834
38,14,-1.586704,-0.768380,102.4625,107.5841
39,5,-0.905222,0.117497,12.0695,61.6816
39,6,-0.885615,0.093027,27.6905,82.8066
39,7,-0.854574,0.066967,46.4617,108.4681
39,8,-0.821490,0.034879,57.1088,115.1475
39,9,-0.794486,0.009313,71.5604,115.1475
39,10,-0.826059,0.028385,86.8088,115.1475
39,11,-0.823300,0.039568,64.4605,107.5843
39,12,-0.811706,0.027080,71.7470,107.5845
39,13,-0.804006,0.028042,88.9418,107.5835
39,14,-0.789952,0.027289,102.4625,107.5837
40,5,-0.125127,0.904839,44.5795,119.8976
40,6,-0.099877,0.881611,72.5716,119.9405
40,7,-0.071330,0.850294,107.2265,119.9130
40,11,-0.119823,0.897630,22.9516,65.8435
40,12,-0.110189,0.887506,25.6299,77.6255
40,13,-0.098650,0.875515,33.2328,94.7069
40,14,-0.085839,0.861876,38.5298,107.5837
40,15,-0.070579,0.846332,47.8232,107.5834
41,5,0.666510,1.693335,44.4328,119.8976
41,6,0.691616,1.666638,72.6815,119.9405
41,7,0.716083,1.636408,107.2265,119.9130
41,11,0.661660,1.688972,22.9593,66.8017
41,12,0.671150,1.678966,26.7796,77.6260
41,13,0.681735,1.667444,33.2500,94.7199
41,14,0.695056,1.652480,39.5255,107.5845
41,15,0.709432,1.635471,47.7968,107.5843
42,5,1.445601,2.474498,38.7305,119.8976
42,6,1.474028,2.452993,72.4617,119.9405
42,7,1.502610,2.419883,107.1531,119.9130
42,11,1.463594,2.479501,22.9491,65.8762
42,12,1.475177,2.471190,26.8649,77.6276
42,13,1.487096,2.461333,33.1386,94.7267
42,14,1.498768,2.450946,39.5153,107.5834
42,15,1.511013,2.436661,47.6536,107.5845
43,5,2.232950,3.261988,44.4328,119.8976
43,6,2.252687,3.235886,72.6815,119.9405
43,7,2.283048,3.205721,107.2265,119.9130
43,11,2.243266,3.253258,22.9491,66.7903
43,12,2.253314,3.245438,26.8765,77.6260
43,13,2.263314,3.234276,33.3797,94.7175
43,14,2.276252,3.221071,39.6395,107.5830
43,15,2.290289,3.205751,47.8326,107.5837
44,5,3.020605,4.049443,38.6571,119.8976
44,6,3.043467,4.024309,72.3518,119.9405
44,7,3.072753,3.984186,107.0064,119.9130
44,11,3.029780,4.033837,22.9528,65.8300
44,12,3.037856,4.024628,26.9215,77.6271
44,13,3.047077,4.006015,33.2350,94.7260
44,14,3.057112,3.993940,39.5091,107.5826
44,15,3.070333,3.982214,47.7128,107.5845
45,5,-2.479660,-1.447598,44.6529,119.8976
45,6,-2.453591,-1.480360,72.5167,119.9405
45,7,-2.417361,-1.508802,107.2265,119.9130
45,11,-2.480303,-1.455777,22.9553,65.7393
45,12,-2.471749,-1.465490,26.9194,77.6255
45,13,-2.462512,-1.476473,33.2402,94.7271
45,14,-2.451864,-1.488758,39.6726,107.5841
45,15,-2.437641,-1.503611,47.9268,107.5837
46,5,-1.694215,-0.662211,44.5062,119.8976
46,6,-1.671229,-0.684231,72.5167,119.9405
46,7,-1.643955,-0.729175,107.1531,119.9130
46,11,-1.685997,-0.668499,22.9628,66.7641
46,12,-1.676872,-0.677208,26.7666,77.6271
46,13,-1.666508,-0.689485,33.0883,94.7130
46,14,-1.654453,-0.703775,39.5091,107.5845
46,15,-1.639855,-0.717632,47.7963,107.5845
47,5,-0.904018,0.123262,44.2128,119.8976
47,6,-0.883860,0.097080,72.4617,119.9405
47,7,-0.851136,0.066927,107.1531,119.9130
47,11,-0.903971,0.117806,22.9491,66.7471
47,12,-0.892780,0.108012,26.9100,77.6244
47,13,-0.881081,0.096113,33.2557,94.7212
47,14,-0.867906,0.083794,39.5363,107.5826
47,15,-0.852801,0.069464,47.8365,107.5845
